id,first_name,last_name,email,phone_number
1,John,Doe,john.doe@example.com,555-555-1234
2,Jane,Smith,jane.smith@example.com,555-555-5678
3,Bob,Johnson,bob.johnson@example.com,555-555-9012
4,Alice,Wong,alice.wong@example.com,555-555-3456
5,David,Lee,david.lee@example.com,555-555-7890
6,Samantha,Miller,samantha.miller@example.com,555-555-2345
7,Michael,Scott,michael.scott@example.com,555-555-6789
8,Pam,Beesly,pam.beesly@example.com,555-555-1234
9,Dwight,Schrute,dwight.schrute@example.com,555-555-5678
10,Jim,Halpert,jim.halpert@example.com,555-555-9012
